"Reindex data","Reindex data"
"Please select at least one index.","Please select at least one index."
"LizardMedia admin indexer","LizardMedia admin indexer"
"Reindex failed on indexer %1","Reindex failed on indexer %1"
"Indexing of indexer %1 has been executed","Indexing of indexer %1 has been executed"
"Following indexing errors has occured: ","Following indexing errors has occured: "
"Indexing of %1 has failed: %2","Indexing of %1 has failed: %2"
